,ExpressId,GlobalId,Class,PredefinedType,Name,Level,Type,Pset_ReinforcementBarPitchOfWall.Reference,Pset_StairFlightCommon.NumberOfTreads,Pset_StairCommon.Reference,Pset_StairCommon.NumberOfRiser,Pset_ColumnCommon.LoadBearing,Pset_ReinforcementBarCountOfIndependentFooting.Reference,Pset_BeamCommon.Reference,Pset_RoofCommon.IsExternal,Pset_WallCommon.Reference,Pset_ReinforcementBarPitchOfContinuousFooting.Reference,Pset_StairCommon.NumberOfTreads,Pset_RoofCommon.Reference,BaseQuantities.GrossFootprintArea,Pset_StairFlightCommon.TreadLengthAtOffset,BaseQuantities.CrossSectionArea,Pset_SlabCommon.IsExternal,Pset_StairFlightCommon.TreadLength,Pset_StairCommon.RiserHeight,Pset_RoofCommon.TotalArea,Pset_WallCommon.LoadBearing,BaseQuantities.NetSurfaceArea,BaseQuantities.GrossArea,BaseQuantities.Width,Pset_SlabCommon.ThermalTransmittance,Pset_StairFlightCommon.WalkingLineOffset,Pset_StairFlightCommon.NumberOfRiser,Pset_BeamCommon.Span,Pset_RoofCommon.ProjectedArea,Pset_SlabCommon.Reference,Pset_BeamCommon.LoadBearing,Pset_BeamCommon.Slope,Pset_StairFlightCommon.RiserHeight,BaseQuantities.Length,Pset_ColumnCommon.Slope,BaseQuantities.Perimeter,Pset_StairFlightCommon.Reference,Pset_StairFlightCommon.NosingLength,Pset_WallCommon.IsExternal,Pset_ColumnCommon.Reference,BaseQuantities.NetSideArea,Pset_WallCommon.ExtendToStructure,Pset_BeamCommon.IsExternal,Pset_StairFlightCommon.TreadLengthAtInnerSide,Pset_StairCommon.TreadLength,BaseQuantities.Height,Pset_ReinforcementBarPitchOfColumn.Reference,BaseQuantities.GrossSurfaceArea,BaseQuantities.GrossSideArea,Pset_ReinforcementBarPitchOfBeam.Reference,Pset_StairCommon.IsExternal,Pset_QuantityTakeOff.Reference,BaseQuantities.NetArea,Pset_SlabCommon.PitchAngle,BaseQuantities.NetVolume,Pset_ReinforcementBarPitchOfSlab.Reference,Pset_WallCommon.ThermalTransmittance,BaseQuantities.OuterSurfaceArea,Pset_SlabCommon.LoadBearing,BaseQuantities.GrossVolume,Pset_ColumnCommon.IsExternal
0,465,3SmsC8TbTCKPAIQBzPn3Nj,IfcColumn,COLUMN,Hormigón-Rectangular-Pilar:Vol Camara decantadora 1000 x 1000 x  1000 mm:388184,Nivel -1,Hormigón-Rectangular-Pilar:Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,True,,,,,,,,,,11.0925011331174,,,,,,,,,,,,,,,,,,,,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,5.42575124642951,,,,,,False
1,636,3SmsC8TbTCKPAIQBzPn3NV,IfcColumn,COLUMN,Hormigón-Rectangular-Pilar:Vol Camara decantadora 1000 x 1000 x  1000 mm:388202,Nivel -1,Hormigón-Rectangular-Pilar:Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,True,,,,,,,,,,11.1099999999994,,,,,,,,,,,,,,,,,,,,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,5.43625056655867,,,,,,False
2,786,3SmsC8TbTCKPAIQBzPn3N9,IfcColumn,COLUMN,Hormigón-Rectangular-Pilar:Vol Camara decantadora 1000 x 1000 x  1000 mm:388220,Nivel 1,Hormigón-Rectangular-Pilar:Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,True,,,,,,,,,,17.489,,,,,,,,,,,,,,,,,,,,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,8.95289999999999,,,,,,False
3,847,1bL0yc6Fj8ZxOTWJUb9l4r,IfcColumn,COLUMN,Hormigón-Rectangular-Pilar:Vol Camara decantadora 1000 x 1000 x  1000 mm:390029,Nivel -1,Hormigón-Rectangular-Pilar:Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,True,,,,,,,,,,1.21,,,,,,,,,,,,,,,,,,4.49999999999971,,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,5.44499999999964,,,19.7999999999987,,5.44499999999964,False
4,1107,1bL0yc6Fj8ZxOTWJUb9lRp,IfcColumn,COLUMN,Hormigón-Rectangular-Pilar:Vol Camara decantadora 1000 x 1000 x  1000 mm:390219,Nivel 1,Hormigón-Rectangular-Pilar:Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,True,,,,,,,,,,18.8168136893556,,,,,,,,,,,,,,,,,,,0.0,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,7.74912744353865,,,,,,False
5,1264,1bL0yc6Fj8ZxOTWJUb9lKX,IfcColumn,COLUMN,Hormigón-Rectangular-Pilar:Vol Camara decantadora 1000 x 1000 x  1000 mm:391065,Nivel -1,Hormigón-Rectangular-Pilar:Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,True,,,,,,,,,,11.1099999999994,,,,,,,,,,,,,,,,,,,,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,5.43975007072251,,,,,,False
6,1325,1bL0yc6Fj8ZxOTWJUb9lLn,IfcColumn,COLUMN,Hormigón-Rectangular-Pilar:Vol Camara decantadora 1000 x 1000 x  1000 mm:391113,Nivel 1,Hormigón-Rectangular-Pilar:Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,True,,,,,,,,,,1.21,,,,,,,,,,,,,,,,,,7.4,,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,8.954,,,32.56,,8.954,False
7,1475,1bL0yc6Fj8ZxOTWJUb9lLZ,IfcColumn,COLUMN,Hormigón-Rectangular-Pilar:Vol Camara decantadora 1000 x 1000 x  1000 mm:391131,Nivel 1,Hormigón-Rectangular-Pilar:Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,True,,,,,,,,,,12.8525,,,,,,,,,,,,,,,,,,,,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,6.39375,,,,,,False
8,1622,1bL0yc6Fj8ZxOTWJUb9lhF,IfcColumn,COLUMN,Hormigón-Rectangular-Pilar:Vol Camara decantadora 1000 x 1000 x  1000 mm:391287,Nivel 1,Hormigón-Rectangular-Pilar:Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,True,,,,,,,,,,14.6125,,,,,,,,,,,,,,,,,,,,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,,,Vol Camara decantadora 1000 x 1000 x  1000 mm,,,7.36175,,,,,,False
9,1677,2wdYsMRfj0qerhN39IUqdv,IfcSlab,BASESLAB,M_Zapata-Rectangular:1800 x 1200 x 600mm:392004,Nivel -1,M_Zapata-Rectangular:1800 x 1200 x 600mm,,,,,,,,,,,,,,,,False,,,,,,2.16,0.6,,,,,,1800 x 1200 x 600mm,,,,,,6.0,,,,,,,,,,,,,,,,1800 x 1200 x 600mm,2.16,,1.296,1800 x 1200 x 600mm,,,,1.296,
10,1745,2wdYsMRfj0qerhN39IUqxi,IfcSlab,BASESLAB,M_Zapata-Rectangular:1800 x 1200 x 600mm:392273,Nivel -1,M_Zapata-Rectangular:1800 x 1200 x 600mm,,,,,,,,,,,,,,,,False,,,,,,2.16,0.6,,,,,,1800 x 1200 x 600mm,,,,,,6.0,,,,,,,,,,,,,,,,1800 x 1200 x 600mm,2.16,0.0,1.296,1800 x 1200 x 600mm,,,,1.296,
11,1800,2wdYsMRfj0qerhN39IUqpM,IfcSlab,BASESLAB,M_Zapata-Rectangular:1800 x 1200 x 600mm:392811,Nivel -1,M_Zapata-Rectangular:1800 x 1200 x 600mm,,,,,,,,,,,,,,,,False,,,,,,2.16,0.6,,,,,,1800 x 1200 x 600mm,,,,,,6.0,,,,,,,,,,,,,,,,1800 x 1200 x 600mm,2.16,0.0,1.296,1800 x 1200 x 600mm,,,,1.296,
12,1854,2wdYsMRfj0qerhN39IUqmi,IfcSlab,BASESLAB,M_Zapata-Rectangular:1800 x 1200 x 600mm:392849,Nivel -1,M_Zapata-Rectangular:1800 x 1200 x 600mm,,,,,,,,,,,,,,,,False,,,,,,2.16,0.6,,,,,,1800 x 1200 x 600mm,,,,,,6.0,,,,,,,,,,,,,,,,1800 x 1200 x 600mm,2.16,0.0,1.296,1800 x 1200 x 600mm,,,,1.296,
13,1908,2wdYsMRfj0qerhN39IUqte,IfcSlab,BASESLAB,M_Zapata-Rectangular:1100 x 1700 x 600mm:393045,Nivel -1,M_Zapata-Rectangular:1100 x 1700 x 600mm,,,,,,,,,,,,,,,,False,,,,,,1.87,0.6,,,,,,1100 x 1700 x 600mm,,,,,,5.60000000000001,,,,,,,,,,,,,,,,1100 x 1700 x 600mm,1.87,0.0,1.122,1100 x 1700 x 600mm,,,,1.122,
14,1963,2wdYsMRfj0qerhN39IUqrq,IfcSlab,BASESLAB,M_Zapata-Rectangular:1100 x 1700 x 600mm:393161,Nivel -1,M_Zapata-Rectangular:1100 x 1700 x 600mm,,,,,,,,,,,,,,,,False,,,,,,1.87,0.6,,,,,,1100 x 1700 x 600mm,,,,,,5.60000000000001,,,,,,,,,,,,,,,,1100 x 1700 x 600mm,1.87,0.0,1.122,1100 x 1700 x 600mm,,,,1.122,
15,2017,2wdYsMRfj0qerhN39IUqrl,IfcSlab,BASESLAB,M_Zapata-Rectangular:1100 x 1700 x 600mm:393170,Nivel -1,M_Zapata-Rectangular:1100 x 1700 x 600mm,,,,,,,,,,,,,,,,False,,,,,,1.87,0.6,,,,,,1100 x 1700 x 600mm,,,,,,5.60000000000001,,,,,,,,,,,,,,,,1100 x 1700 x 600mm,1.87,,1.122,1100 x 1700 x 600mm,,,,1.122,
